Camara,Nome,Partido
Guimaraes,Marcio Rafael da Silva Ferreira,PS
Porto,Rui Moreira,RM
Porto,Filipe Araujo,RM
Porto,Catarina Araujo,RM
Porto,Pedro Baganha,RM
Porto,Fernando Paulo,RM
Porto,Filipa Correia Pinto,RM
Porto,Catarina Santos Cunha,IND
Porto,Tiago Barbosa Ribeiro,PS
Porto,Rosario Gamboa,PS
Porto,Filipe Sampaio Rodrigues,PSD
Porto,Mariana Ferreira Macedo,PSD
Porto,Paulo Jorge Teixeira,RM
Porto,Agostinho Sousa Pinto,PS
Porto,Miguel Barbosa,RM
Porto,Maria Barbosa Ducharne,RM
Porto,Fernanda Rodrigues,PS
Porto,Miguel Corte-Real,PSD
Porto,Mario Amorim Lopes,RM
Porto,Rui Sa,CDU
Porto,Susana Constante Pereira,BE
Porto,Marco Leitao,PS
Porto,Silvia Soares,PSD
Porto,Raul Almeida,RM
Porto,Luis Artur Ribeiro Pereira,RM
Porto,Rui Lage,PS
Porto,Fernando Monteiro,PSD
Porto,Jose Pedro Anacoreta,RM
Porto,Joana Rodrigues,CDU
Porto,Jose Serodio,RM
Porto,Maria da Graca Vaz,PS
Porto,Rui Novoa,BE
Porto,Manuel Monteiro,PSD
Porto,Paulo Vieira de Castro,PAN
Porto,Pedro Schuller,RM
Porto,Rui Afonso,CH
Porto,Paula Roseira,PS
Porto,Sofia Pimenta,RM
Porto,Ana Paula Cardoso,PSD
Porto,Joao Paulo Carvalho,RM
Porto,Jose Manuel Varela,CDU
Porto,Alfredo Fontinha,PS
Porto,Nuno Borges,PSD
Porto,Jose Maria Montenegro,RM
Porto,Elisabete de Carvalho,BE
Porto,Helena Maia,PS
Porto,Rodrigo Teodoro Passos,PSD
Porto,Fatima Ferreira,RM
Porto,Joao Ricardo de Aguiar,RM
Porto,Paulo Ribeiro,PS
Porto,Miguel Seabra,PSD
Porto,Patricia Rapazote,RM
Porto,Ana Furtado,RM
Porto,Nuno Cruz,RM
Porto,Sebastiao Feyo de Azevedo,PSD
Porto,Isabel Meneres Campos,RM
Porto,Carla Leitao,RM
Alandroal,Jose Francisco Figueira Andrezo Rodrigues,NC
Porto,Maria Manuel de Almeida Rola,BE
